keyword,url,date
건강,https://www.teamblind.com/kr/post/[%EC%84%9C%EC%9A%B8-%EA%B0%95%EB%82%A8%ED%99%8D%EB%8C%80%EC%A2%85%EB%A1%9C-%EB%8F%85%EC%84%9C-%EB%AA%A8%EC%9E%84-%EC%9D%B8%EC%9B%90-%EB%AA%A8%EC%A7%91%ED%95%A9%EB%8B%88%EB%8B%A4]-N0eRXH6M,"작성시간
7시간"
건강,https://www.teamblind.com/kr/post/20%EB%8C%80-%EC%A2%85%ED%95%A9%EA%B1%B4%EA%B0%95%EA%B2%80%EC%A7%84-%ED%95%B4%EB%B3%B4%EC%8B%A0%EB%B6%84-cmDSA6xr,"작성시간
7시간"
건강,https://www.teamblind.com/kr/post/%EC%A1%B1%EC%A0%81%EA%B7%BC%EB%A7%89%EC%97%BC%EC%9D%B4-%EC%A0%95%ED%99%95%ED%9E%88-%EC%96%B4%EB%96%A4-%ED%86%B5%EC%A6%9D%EC%9D%B4%EC%95%BC-F12mdcat,"작성시간
8시간"
건강,https://www.teamblind.com/kr/post/%EC%96%B4%EC%A7%80%EB%9F%AC%EC%9B%8C-%EB%84%98%EC%96%B4%EC%A7%90-4wpHX8fA,"작성시간
9시간"
건강,https://www.teamblind.com/kr/post/%EB%8B%A4%EC%9D%B4%EC%96%B4%ED%8A%B8-%EC%AD%89%EC%AD%89%EB%90%98%EB%8A%94-%EC%9A%B4%EB%8F%99-%EB%AD%90%EC%9E%88%EC%9D%84%EA%B9%8C%EC%9A%94-tLo2XqHB,"작성시간
9시간"
건강,https://www.teamblind.com/kr/post/%EA%B1%B4%EA%B0%95%ED%95%B4%EC%A7%80%EA%B3%A0-%EC%9E%88%EB%8B%A4-KpDPXMpo,"작성시간
12시간"
건강,https://www.teamblind.com/kr/post/%EC%9E%84%EC%8B%A0-%EC%86%8C%EC%8B%9D-%EB%B3%B4%ED%86%B5-%EC%8B%9C%EB%8C%81%EC%97%90-%EC%96%B8%EC%A0%9C%EC%AF%A4-%EC%95%8C%EB%A0%A4-uj4sE75n,"작성시간
13시간"
건강,https://www.teamblind.com/kr/post/%EB%B0%94%EB%9E%8C%ED%94%BC%EB%8A%94-%EB%82%A8%EC%B9%9C-%EB%B3%B5%EC%88%98%ED%95%98%EA%B2%8C-%EB%8F%84%EC%99%80%EC%A3%BC%EC%84%B8%EC%9A%94-TVyDxP3m,"작성시간
17시간"
건강,https://www.teamblind.com/kr/post/%EB%A7%8C%EB%82%98%EB%8A%94%EC%82%AC%EB%9E%8C%EC%9D%B4-%EB%AA%B8%EC%9D%B4-%EB%A7%8E%EC%9D%B4-%EC%95%84%ED%8D%BC-itD6rZ8a,"작성시간
17시간"
건강,https://www.teamblind.com/kr/post/%EB%82%B4-%EC%9D%B4%EC%83%81%ED%98%95-%EC%A1%B0%EA%B1%B4-%EC%A7%84%EC%A7%9C-%EB%86%92%EC%A7%80-%EC%95%8A%EB%8B%A4%EA%B3%A0-%EC%83%9D%EA%B0%81%ED%95%98%EB%8A%94%EB%8D%B0-nJfZkH4i,"작성시간
17시간"
건강,https://www.teamblind.com/kr/post/%EB%82%A8%EC%B9%9C%EC%9D%B4-%EB%82%98%EB%A5%BC-%EB%84%88%EB%AC%B4-%EC%A2%8B%EC%95%84%ED%95%98%EB%8A%94%EB%8D%B0-%EB%82%9C-%EC%9D%B4%EA%B2%8C-%EB%84%98-%EC%9D%98%EC%8B%AC%EC%8A%A4%EB%9F%AC%EC%9B%8C-nsLxXbfj,"작성시간
18시간"
건강,https://www.teamblind.com/kr/post/%EC%96%B4%EB%96%A4%ED%98%95-%EA%B2%B0%ED%98%BC-%ED%9B%84%EA%B8%B0-R1Xs2rik,"작성시간
18시간"
건강,https://www.teamblind.com/kr/post/%EC%95%84%EB%93%A4-%EC%82%AC%EB%9E%91%ED%95%B4-me2mGLP0,"작성시간
어제"
건강,https://www.teamblind.com/kr/post/%EB%82%98%EC%9D%B4%EB%93%A0-%EC%97%B0%EC%98%88%EC%9D%B8%EC%9D%B4%EB%82%98-%EC%8B%B8%EB%AA%A8%EB%8B%98%EB%93%A4%EC%9D%B4-%EB%BC%88%EB%A7%90%EB%9D%BC%EA%B0%80-%EB%90%98%EB%8A%94-%EC%9D%B4%EC%9C%A0-upVbzSTd,"작성시간
어제"
건강,https://www.teamblind.com/kr/post/%EC%98%A4%EB%8A%98%EC%9D%98%EA%B0%90%EC%82%AC%EC%9D%BC%EA%B8%B0-ZJUQ8Wpu,"작성시간
어제"
건강,https://www.teamblind.com/kr/post/%EB%8B%A4%EB%93%A4-%EC%9D%B4%EC%83%81%ED%98%95-%EC%A0%81%EC%96%B4%EB%B3%B4%EC%9E%90-1FHwwr7r,"작성시간
어제"
건강,https://www.teamblind.com/kr/post/%EC%98%88%EC%A0%84%EC%97%90%EB%8A%94-%EB%AC%B4%EC%9E%90%EC%8B%9D-%EC%83%81%ED%8C%94%EC%9E%90%EB%9D%BC-%EC%83%9D%EA%B0%81%ED%96%88%EB%8A%94%EB%8D%B0-2SCfG573,"작성시간
어제"
