Unnamed: 0,review
35,겨울에도 패딩 안에 반팔입고 다니는 열많은인간이라 여름옷이 아주 골ㅊㅣ아팠던 터였다죠    그러던 중 이걸 샀는데 개얇고 나풀나풀한데 후줄그레하진 않고 너무 좋은 겁니다  여름옷의 숙명   시원하면 후줄그레  단정하면 개더움  여름옷의 숙명을 드디어 벗어던졌어요  괜찮은 다른 컬러 있으면 바로 살 겁니다
36,약간 까슬한 면이고 두께는 얇아요  그치만 엄청 시원한 소재까지는 아닌것 같아요  딱 원하던 핏이어서 맘에 듭니다 
37,원하던 반팔셔츠라 기대하고 구매했는데 딱 원하는 스타일이네요
38, 찐 솔직후기   사이즈            핏  기장 완벽  배송   예약 배송이어서 기다렸지만 출고되고 빠르게 도착   디자인   팔 접고 단추 메는 포인트가 아주 마음에 들고 너무 벙벙하지 않은 핏이라서 만족   색감   화면가 같음   가격   가성비가 너무 좋음  합리적 가격   마지막 평   가격  디자인  활용도 생각하면 충분히 좋은 제품이라서 추천  실밥은 아마 제가 뽑기를 못한거 같은데 그래도 만족 
39,요즘 체크패턴 셔츠 정말 가지고 싶었는데 에구머니나 마침 이렇게 이쁜 제품 발견  한여름에도 입을수있는 얇기에요 안에 이너 없이 맨살에 입는거 추천추천 막 추천
40,운동할때 편하게 입으려고 샀는데 맘에듭니다 질도 좋아유 하체함 보고가세요
41,향후 구매하실 잠재 고객분들중 저와 비슷한 신체조건을 가지신 분들께 작게나마 도움이될 솔직한 스타일리뷰를 남겨보아요   개인적인 신체스펙은 아래와 같습니다  신 장        cm 몸무게     kg     kg  모 자        호 상 의       XL  하 의        인치 신 발          cm 실측    cm  참고하실부분 평소 상의 사이즈     XL 입으신다면 최고의 핏으로 입으 실 수 있습니다  어깨부터 팔까지 라인을 딱 잡아주기에 운동을 좋아하시는 분이라면 굉장한 만족감과 함께 운동할때마다 입고 싶어지실 것 같아요  구매를 적극 추천합니다   
42,반팔티 새로 구매했는데 괜찮네요 다만 생각보다 팔통부분하고 어깨부분이 엄청 타이트해서 입을때 좀 힘듭니다 사이즈 업해서 주문할걸 후회되네요   마르신 분들 아니면 무조건 라지 이상 추천드립니다 재질은 얇은 면 원단에 신축성 있는 느낌인데 통풍 잘되는지는 모르겠습니다   블랙 재입고되면 라지로 구매해야겠네요
43,운동인들에게 필수품이네요  일상복으로도 아주 괜찮습니다
44,핏이 좋아서 운동할 때 뿐만 아니라 일상복으로도 잘 입을 것 같네요
45,빅로고 구매 후 스몰로고도 구매 했는데 사이즈가 타이트한감 이 있어 훨씬 더 좋아오
46,평상시    입는데 xl 어깨가 좀 껴요 ㅠㅜ 다이어트좀해야겠다
47,머슬핏으로 사이즈 한 치수씩 크게 주문하셔야 편하게 입을 수 있을 것 같습니다
48,팔통이 작을줄 알았는데 생각보다 괜찮았어요 입을수록 좋아요
49,몸이 그렇게 좋지 않아도 운동 한  개월 한 정도라면 충분히 핏이 잘 나옵니다  체지방이 많아서 뱃살이 좀 있는 편인데  그것도 밑으로 예쁘게 떨어져서 티가 안납니다  과체중이신분들도 강추
50,딱 기대했던거 만큼 이뻐서 좋아요 여름에 자주입을것 같아요
51,  요즘 딱 입기 좋은 피그먼트 티셔츠예요 그래픽 스타일이 귀엽고 색감이라 생각한 느낌이어서 맘에 들어요     저한테는 좀 커서 안애 흰 티셔츠 입어서 레이어드하면 더 귀여울 것 같아요 받아보자마자 입어봤는데 친구가 예쁘다고 칭찬해줬어요   트릴리온 첫구매인데 성공적이네요       배송이 좀   ㅎㅎ 아쉬웠어요 ㅎㅎ    
52,너무너무 마음에 듭니다 가격도 저렴하고 상품도 마음에 드네요 
53,배송쫌걸렸지만   생각했던핏이구요 빈티지한 느낌   도톰해서 변형없구요  스탈링 편하게 좋아요
54,딱 무게감 적당하고 여름에 입기 시원합니다 옷이 편하고 부드럽다
55,차콜 티셔츠를 사고싶거나 프린팅이 이쁜 티를 사고싶다면 이 티 절대강추
56,실물이 더 예쁩니다 프린팅 반팔티 찾고 계신 분들께 강추드드려요  
57,누구나 입을수 있는 기본 스타일 입니다  사이즈 적당히 잘 입겠네요
58,세일할때 싸게 샀는데 재질이 넘 맘에 들어요 탄탄해서 오래 입을 수 있을 것 같아여 굿굿
59,색감이랑 사이즈가 딱 좋아요 한여름에 입기는 조금 두꺼워요
60,행위예술 아니고 저희집 거울이 없어서 타이머 맞추고 헐레벌떡 간다음에 포즈 취한거에요 봐주세요   이거도 한철입고 말 옷이라고 생각한 제 머리를 팍 칩니다    장점    후들후들한 재질 오ㅏ 진짜 하나도 안더움 발가벗고 나간거같아서 진짜 놀랐음   교복처럼 걍 개더운날에 입고 나감    허리가 잘록해보인다 진짜 이건 매직입니다 분명 핏은 큰데    무슨 셔링이 있는 것도 아닌데    허리가 잘록해보인다  보통 바스트가 있거나 어깨부분이 멋지게 벌어지신 분들이 옷을 입으면 중간 공간이 뜨는 현상이 빈번히 발생하는데 이 옷은 단점을 보완함  부한 부위가 있어도 그걸 덮밥처럼 덮고 말라보이게만듦         요즘 짧은옷유행인데   그런 유행 사이에서 오래간만에 충분히 긴 기장과 적당한 핏함   엄마가 맨날 짧은 옷좀 사지말라그랬는데 이 옷은 뭐라 안함   단점    팔을들면 잘못하면 마르신 분들은 가려진 겨드랑이 틈 사이로 속옷오픈을 할 수도 있다   근데 오픈해도 오히려 의도한척하면 됨 패션은 애티튜드     가끔 카라가 뒤집혀서 드라큘라카라됨  하지만 즐김  지금 그릴드치킨파스타 시켰는데 오기전에 후기 생각나서 씁니다요
61,아주 부드러운 재질이라서 좋고 정사이즈 핏이라서 좋아요
62,나의팔근육을한층더업그레이드시켜주는옷이지만허리핏이너무이쁜옷내핏보면아무도안사겠지홍홍
63,진짜 가볍고 시원한 재질이어서 여름에 잘 입을것 같고  핏도 정말 예쁘게 잡혀서 완벽하네요 굿  
64,허리라인 잘록하게 잡아줘서 날씬해보이고 예뻐요 찰랑찰랑해서 한여름에도 입을수 있을 것 같아요 
65,제가 생각한 코디랑 완전 찰떡으로 어울려서 감격했습니당 허리 라인 들어가서 날씬해보이고 바지에도 치마에도 잘 어울리는 제품인거 같아욧 재질은 보들보들하고 얇아서 여름에 잘 입고 다닐거 같아요 아무튼 완전 너무너무너무 만족합니다 헤헤
66,후기만 보고는 너무 작지 않을까 생각 했었는데 너어어무 잘 늘어나고 팔뚝살도 부각 돼 보이진 않을까 걱정했는데 오히려 없어보였어요 한여름에도 무조건 입을 수 있고 그냥   여름 내내 넘 잘 입을 것 같아서 다른 색들도 사고 싶어요   
67,옙버요    완전맘에듬   날씬해보이고 찰랑찰랑 시원한 재질  자주 입을거같아요
68,후들후들 완전 부드러워요 신축성 좋고 편해서 자주 입을 것 같아요  핏도 마음에 들어요 
69,일단 생각보다 엄청 얇고 부들뷰들한 소재입니다  완전 여름용   진짜 쫀쫀 그 자체여서 허리라인 잘 잡아줘서 좋았어요  완전 휘뚤마뚤템 
70,진짜 너무 편하고 무난해서 휘뚤마뚤 자주 입을것 같아요
71,짱짱하고 가벼운 소재로 되어 있어서 입었을 때 딱 예쁜 핏  허리선이 포인트인 옷이에요 상체가 짧은 체형에도 슬림하게 잡아줘서 밸런스를 맞춰줍니다    추천이에요
72,쫀쫀하구   팔뚝도 커버 꽤나 해주네욤 밑 빨간 로고도 넘 기여워요  편하게 입고 다니려고 샀는데 아주주 만족입니닷   밑에 잠옷은 웁스  
73,핏이 너무예뻐요 색감도 예쁘고 핏때문에 다른색으로 깔별로 쟁이고 싶은 정도   
74,멜란지 컬러에 딱 이런핏 찾고있었습니다  다른컬러도 사러갑니다
75,재질이 부들 부들해서 좋고 아래가 라운드로 되어있어서 더 날씬해 보이는 느낌도 듦  그리고 빨간색으로 자수 박힌것도 이뻐서 다른색 살까도 고민중이지만 어깨선이 안으로 들어가서 조금 불편해잉ㅜ
76,질감도 좋고 배송도 빨라서 바로 입었어요 빨간색이 포인트돼요
77,기본 티를 찾다가 자수 디테일이랑 밑단의 둥그런 모양이 체형커버에도 좋을거같아서 고민없이 샀던 티입니다  흉통이랑 바스트가 있어서 엄청 나게 예쁜 핏은 아니지만 그래도 너무 잘 입고있어요 색감 재질 다다 맘에 들어요
78,밑단 디자인이 커브형으로 되어있어서 허리도 얇아보이고 엄청쫀쫀해서 불편하지도 않았어요   밑에 자수도 너무 귀야워요 여름에 잘 입고다닐것같아요 
79,재질이 진 쨔 넘 좋다 ㅎㅎ보들보들   이런 핏 넘 조아요  너무 조아하는 반팔모양
80,너무좋네요 아주 딱이예요 이너로입기도 좋네요
81,아 이뻐서 잘 입고 다닙니다 레이어드도 예쁘게 되요  
82,이너로 입기에도 좋고 여름에 단독으로 입어도 킹갓 무탠 사랑해요
83,아이폰 떨틴 프로멕스 후면으로 찍은 전신샷이다  색감과 소재는 좋타 라지는    에게 딱이다 조금더 루즈하고 긴기장으로 레이어드하고싶으면 xl 추천한다
84,가성비 완전 좋아요 두께도 괜찮아요 핏 좋습니다
85,일단 목 엄청 짱짱해서 안 늘어나서 좋습니다  다만 좀 오버핏이라 단독으론 안 입고 레이어드 티로 많이 입음 단독으로 입으면 어깨가 너무 넓어보여서 
86,그냥 사세요오호로 ㅠㅠ 이너되고 레이어드되고 단품되고 얼마나 쥬아 
87,작년에도 구매해서 너무 잘 입고 올해도 또 구매하네요  단품으로 입어도 핏이 예쁘고 레이어드용으로도 잘 활용하고 있어요  이번 여름에도 데일리템으로 많이 입을 거 같네요ㅎㅎ
88,이너로 입기 딱 좋습니다  사이즈도 넉넉해서 편하게 입기 좋아요
89,다 좋은데 목부분이 좀 넓은 것 같아요 미니멀한 디자인이라 좋아요
90,너무조으다최고의흰티셔츠인것이분명하다최고
91,얇고 시원한 재질이고 쫀쫀하고 핏이 정말 마음에 들어요
92,진짜 시원시원하고 쾌적한 착용감이라 이너로 애용할 것 같습니다  물론 단품으로 입기에도 손색없는 제품이에요
93,이너로 항상 이것만 입네요 땀이 많은 편이라 얇고 키가 작아서 기장감도 적당한 제품을 찾았는데 쿨탠다드가 최고입니다 작년에 화이트  벌로 돌아가면서 입었는데 최소  장은 있어야 땀걱정 없이 입을수 있을거 같아 블랙이랑 같이 추가 구매했습니다 완전 강추 드리니 더위 많이 타시면 완전 강추
94,와이드 팬츠랑 같이 입으니깐 넉넉하고 일단 소재가 너무좋아서 계속 찾게되네오
95,비침이 있고 단독으로 입기엔 조금 안될것 같아요
96,가성비 갑 스타일도 핏도 좋은 티샤스 좋아욘 비침도 없음
97,무탠다드 반팔티 근본 가성비 맛집입니다 원단도 굿
98,적당히 내려윤 어깨라인이 어깨 넓어보이게 해줘요 촉감도 넘 좋아요 그런데 찌찌가 자기주장 강하신분들은 니플밴드 하시는데 좋을거 같아요 전 가만히 있을때 괜찮은데 팔 움직이면 자꾸 눈마주친다고 동료한테 혼났어요
99,기본템으로 이곳저곳 받쳐서 입기 좋아요   아우터 안에 단독으로 입거나 이너로 잘 입고 댕깁니다
100,긴말 않겠습니다  이거 입고 소개팅 나가서 일주일만에 사겼습니다 
101,여름에 시원하고 편하게 입기 좋을 듯 코디하기엔 밝은색상도 괜찮을 듯
102,재질 시원하고 핏도 좋고 조금 널널한 편일때는 접어서 입으면 딱이에요 저는 정사이즈 시켰는데 그래도 조금 남아서 여유로운 핏이였어요
103,사이즈 딱맞게 샀는데 너무 예뻐요 꾸미고 싶을때 입으면 될것 같아요
104,배송도빠르고 제품 퀄도 좋아요 짱짱한 스타일이라 반바지에도 입기 좋아요
105,가성비 좋은 반팔니트 시원하고 좋네요 이쁩니다
106,시원한 소재에 네이비 색상이 어느착장에도 잘어울리는것 같습니다  더운여름 이거하나로 거뜬할꺼같아 잘 입을꺼같아요   D
107,좋아요 또 사고싶어여 마른사람이 입을때 핏김이 좋은갓같아요
